index,y_true,predicted
690,0,0.22540282
691,1,0.546031
692,0,1.1482027
693,1,0.068429254
694,0,0.5986244
695,1,0.5327175
696,0,0.6559964
697,1,0.3949475
698,0,0.7933104
699,1,0.08560345
700,0,0.8300425
701,1,0.057570767
702,0,0.1230548
703,1,0.17977281
704,0,0.19140531
705,1,0.24660484
706,0,0.63574934
707,1,0.84194106
708,0,0.14663522
709,1,0.11103129
710,0,0.7333473
711,1,0.12808394
712,0,0.45639017
713,1,0.2012216
714,0,0.33818
715,1,0.47612342
716,0,0.8195899
717,1,0.41519377
718,0,0.111409865
719,1,0.1318337
720,0,0.32205614
721,1,0.13638918
722,0,0.15854204
723,1,0.38259935
724,0,0.22158918
725,1,0.62687325
726,0,0.094386555
727,1,0.5186477
728,0,0.18399905
729,1,0.2086754
730,0,0.5164445
731,1,0.18187493
732,0,0.58694714
733,1,0.23976652
734,0,0.3514915
735,1,0.35114664
736,0,0.0979049
737,1,0.2567083
738,0,1.2513281
739,1,0.17084153
740,0,1.0190561
741,1,0.16295862
742,0,0.379799
743,1,0.3434561
744,0,0.7955956
745,1,0.42693436
746,0,0.19198243
747,1,0.22875164
748,0,0.15279382
749,1,0.313806
750,0,0.17193502
751,1,0.49689665
752,0,0.53485245
753,1,0.13652828
754,0,0.21573754
755,1,0.107880734
756,0,0.3771008
757,1,0.107524544
758,0,1.6141486
759,1,0.13251746
760,0,1.324236
761,1,0.47878498
762,0,0.34655488
763,1,0.06864196
764,0,0.6782471
765,1,0.07046202
766,0,0.93678844
767,1,0.19201793
768,0,0.6547347
769,1,0.18020512
